Id,EventId,PartyPowerWeight,Name,Details,ViewAbilityGroupId1,ViewAbilityGroupId2,ViewAbilityGroupId3,AbilityIconName,UnitType,ElementalType,WeaponType,OnSkill,ConditionType,ExpireCondition,ConditionValue,Probability,OccurenceNum,MaxCount,CoolTime,TargetAction,ShiftGroupId,HeadText,AbilityType1,VariousId1a,VariousId1b,VariousId1c,VariousId1str,AbilityLimitedGroupId1,TargetAction1,AbilityType1UpValue,AbilityType2,VariousId2a,VariousId2b,VariousId2c,VariousId2str,AbilityLimitedGroupId2,TargetAction2,AbilityType2UpValue,AbilityType3,VariousId3a,VariousId3b,VariousId3c,VariousId3str,AbilityLimitedGroupId3,TargetAction3,AbilityType3UpValue
1,0,40,开场伤害护盾{ability_shift0},任务开始时\n获得【使HP最大值{ability_val0}%以下的伤害无效的护盾】。\n护盾仅生效1次，且不可与同种护盾叠加。,10102,0,0,Icon_Ability_1020022,0,0,0,0,15,0,0,0,0,0,0,0,1,,14,316010201,0,0,,74,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0
2,0,60,开场伤害护盾{ability_shift0},任务开始时\n获得【使HP最大值{ability_val0}%以下的伤害无效的护盾】。\n护盾仅生效1次，且不可与同种护盾叠加。,10102,0,0,Icon_Ability_1020022,0,0,0,0,15,0,0,0,0,0,0,0,1,,14,316010401,0,0,,74,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0
3,0,60,开场斗志提升Ⅰ,任务开始时提升1阶段【斗志】。\n【斗志】提升5阶段可转化为【超强斗志】，\n强化攻击·回复技能。\n【超强斗志】将在使用对象技能后解除。,10104,0,0,Icon_Ability_1010012,0,0,0,0,15,0,0,0,1,0,0,0,0,,14,1,0,0,,73,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0
4,0,80,开场斗志提升Ⅴ,任务开始时获得【超强斗志】，\n强化攻击·回复技能。\n【超强斗志】将在使用对象技能后解除。,10104,0,0,Icon_Ability_1010012,0,0,0,0,15,0,0,0,1,0,0,0,0,,14,47,0,0,,73,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0
5,0,60,【火】异常状态无效Ⅰ,装备角色属性为火时，\n任务中最多1次免于进入异常状态。,10102,0,0,Icon_Ability_1030012,1,1,0,0,15,1,0,0,1,0,0,0,0,异常状态无效×1,2,99,0,0,,129,0,100,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0
6,0,80,【火】异常状态无效Ⅱ,装备角色属性为火时，\n任务中最多3次免于进入异常状态。,10102,0,0,Icon_Ability_1030012,1,1,0,0,15,1,0,0,3,0,0,0,0,异常状态无效×3,2,99,0,0,,129,0,100,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0
7,0,40,龙化中伤害提升＋6%,龙化中的伤害倍率提升6%。,10101,0,0,Icon_Ability_1020002,0,0,0,0,0,0,0,0,0,0,0,0,0,,36,0,0,0,,113,0,6,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0
8,0,60,龙化中伤害提升＋10%,龙化中的伤害倍率提升10%。,10101,0,0,Icon_Ability_1020002,0,0,0,0,0,0,0,0,0,0,0,0,0,,36,0,0,0,,113,0,10,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0
9,0,80,强击衰弱·攻Ⅰ,爆发攻击时有50%的概率发动\n【10秒内攻击力下降3%的减益】。,10104,0,0,Icon_Ability_1040011,0,0,0,0,0,0,0,0,0,0,0,0,0,,39,3,0,0,,93,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0
10,0,100,强击衰弱·攻Ⅱ,爆发攻击时有70%的概率发动\n【10秒内攻击力下降3%的减益】。,10104,0,0,Icon_Ability_1040011,0,0,0,0,0,0,0,0,0,0,0,0,0,,39,4,0,0,,93,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0
11,0,50,【火】卷刃抗性,装备角色属性为{element_owner}时，\n使敌人能力“卷刃”无效。,10102,0,0,Icon_Ability_1030013,1,1,0,0,0,0,0,0,0,0,0,0,0,,37,3,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0
12,0,50,【水】卷刃抗性,装备角色属性为{element_owner}时，\n使敌人能力“卷刃”无效。,10102,0,0,Icon_Ability_1030013,1,2,0,0,0,0,0,0,0,0,0,0,0,,37,3,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0
